Query	Hit_Accession	Hit_Description
AIPGENE27055		
AIPGENE27056	sp|Q8IZJ3|CPMD8_HUMAN	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 OS=Homo sapiens GN=CPAMD8 PE=1 SV=2
AIPGENE27057	sp|Q9CR50|ZN363_MOUSE	RING finger and CHY zinc finger domain-containing protein 1 OS=Mus musculus GN=Rchy1 PE=1 SV=1
AIPGENE27058	tr|A9UMZ4|A9UMZ4_NEMVE	Opsin OS=Nematostella vectensis GN=Nvop200.2 PE=4 SV=1
AIPGENE27059	sp|P48180|ACH1_CAEEL	Acetylcholine receptor subunit alpha-type acr-16 OS=Caenorhabditis elegans GN=acr-16 PE=2 SV=1
AIPGENE27060	sp|Q8I7P9|POL5_DROME	Retrovirus-related Pol polyprotein from transposon opus OS=Drosophila melanogaster GN=pol PE=4 SV=1
AIPGENE27061	tr|A7SA37|A7SA37_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g243885 PE=4 SV=1
AIPGENE27062	tr|A7S6Z2|A7S6Z2_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g243289 PE=4 SV=1
AIPGENE27063	gi|156402499|ref|XP_001639628.1|	predicted protein [Nematostella vectensis] >gi|156226757|gb|EDO47565.1| predicted protein [Nematostella vectensis]
AIPGENE27064	sp|O42457|CP1A1_SPAAU	Cytochrome P450 1A1 OS=Sparus aurata GN=cyp1a1 PE=2 SV=1
AIPGENE27065	sp|P91685|GRM_DROME	Metabotropic glutamate receptor OS=Drosophila melanogaster GN=mGluR PE=1 SV=2
AIPGENE27066	sp|P70500|CDIPT_RAT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Rattus norvegicus GN=Cdipt PE=1 SV=1
AIPGENE27067	sp|P97449|AMPN_MOUSE	Aminopeptidase N OS=Mus musculus GN=Anpep PE=1 SV=4
AIPGENE27068		
AIPGENE27069	sp|Q6NUB3|S22AF_XENLA	Solute carrier family 22 member 15 OS=Xenopus laevis GN=slc22a15 PE=2 SV=2
AIPGENE27070	tr|E0S0G5|E0S0G5_BUTPB	Lysozyme Lyc25E OS=Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) GN=lyc25E PE=4 SV=1
AIPGENE27071	sp|C6FG12|NLRC5_ICTPU	Protein NLRC5 OS=Ictalurus punctatus GN=nlrc5 PE=2 SV=1
AIPGENE27072	sp|Q8IZU3|SYCP3_HUMAN	Synaptonemal complex protein 3 OS=Homo sapiens GN=SYCP3 PE=1 SV=1
AIPGENE27073	sp|P62752|RL23A_RAT	60S ribosomal protein L23a OS=Rattus norvegicus GN=Rpl23a PE=2 SV=1
AIPGENE27074	sp|Q99LB0|TDIF1_MOUSE	Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus GN=Dnttip1 PE=2 SV=1
AIPGENE27075	sp|Q99LB0|TDIF1_MOUSE	Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus GN=Dnttip1 PE=2 SV=1
AIPGENE27076	sp|Q6AXU3|I20L2_RAT	Interferon-stimulated 20 kDa exonuclease-like 2 OS=Rattus norvegicus GN=Isg20l2 PE=2 SV=1
AIPGENE27077	sp|Q29496|CP3AO_SHEEP	Cytochrome P450 3A24 OS=Ovis aries GN=CYP3A24 PE=2 SV=1
AIPGENE27078		
AIPGENE27079	sp|O95755|RAB36_HUMAN	Ras-related protein Rab-36 OS=Homo sapiens GN=RAB36 PE=2 SV=2
AIPGENE27080	sp|O14735|CDIPT_HUMAN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1
AIPGENE27081	sp|Q503L9|NXN_DANRE	Nucleoredoxin OS=Danio rerio GN=nxn PE=2 SV=1
AIPGENE27082		
AIPGENE27083	sp|Q9JJZ8|CNGA3_MOUSE	Cyclic nucleotide-gated cation channel alpha-3 OS=Mus musculus GN=Cnga3 PE=1 SV=2
AIPGENE27084	sp|Q8BID8|FXL14_MOUSE	F-box/LRR-repeat protein 14 OS=Mus musculus GN=Fbxl14 PE=2 SV=1
AIPGENE27085	sp|Q5ZKU4|INT2_CHICK	Integrator complex subunit 2 OS=Gallus gallus GN=INTS2 PE=2 SV=1
AIPGENE27086	sp|Q29496|CP3AO_SHEEP	Cytochrome P450 3A24 OS=Ovis aries GN=CYP3A24 PE=2 SV=1
AIPGENE27087		
AIPGENE27088	sp|O43435|TBX1_HUMAN	T-box transcription factor TBX1 OS=Homo sapiens GN=TBX1 PE=1 SV=1
AIPGENE27089	sp|Q8K2J9|BTBD6_MOUSE	BTB/POZ domain-containing protein 6 OS=Mus musculus GN=Btbd6 PE=2 SV=2
AIPGENE27090	sp|Q3V2K1|CX065_MOUSE	Uncharacterized protein CXorf65 homolog OS=Mus musculus GN=Gm614 PE=2 SV=1
AIPGENE27091		
AIPGENE27092	sp|Q9D0F6|RFC5_MOUSE	Replication factor C subunit 5 OS=Mus musculus GN=Rfc5 PE=2 SV=1
AIPGENE27093		
AIPGENE27094	sp|P54644|KRAC_DICDI	RAC family serine/threonine-protein kinase homolog OS=Dictyostelium discoideum GN=pkbA PE=1 SV=1
AIPGENE27095	sp|P54644|KRAC_DICDI	RAC family serine/threonine-protein kinase homolog OS=Dictyostelium discoideum GN=pkbA PE=1 SV=1
AIPGENE27096	sp|Q25158|OPSC2_HEMSA	Compound eye opsin BCRH2 OS=Hemigrapsus sanguineus PE=2 SV=1
AIPGENE27097	sp|A0JNI4|SRR_BOVIN	Serine racemase OS=Bos taurus GN=SRR PE=2 SV=1
AIPGENE27098	sp|Q9NXB0|MKS1_HUMAN	Meckel syndrome type 1 protein OS=Homo sapiens GN=MKS1 PE=1 SV=2
AIPGENE27099	tr|X1X149|X1X149_ACYPI	Uncharacterized protein OS=Acyrthosiphon pisum PE=4 SV=1
AIPGENE27100		
AIPGENE27101		
AIPGENE27102	sp|Q8IDX6|RBP2A_PLAF7	Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=3 SV=1
AIPGENE27103	sp|B0JZ65|LRWD1_XENTR	Leucine-rich repeat and WD repeat-containing protein 1 OS=Xenopus tropicalis GN=lrwd1 PE=2 SV=1
AIPGENE27104	sp|Q9NQG7|HPS4_HUMAN	Hermansky-Pudlak syndrome 4 protein OS=Homo sapiens GN=HPS4 PE=1 SV=2
AIPGENE27105	sp|Q5VWX1|KHDR2_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Homo sapiens GN=KHDRBS2 PE=1 SV=1
AIPGENE27106	sp|Q86YT6|MIB1_HUMAN	E3 ubiquitin-protein ligase MIB1 OS=Homo sapiens GN=MIB1 PE=1 SV=1
AIPGENE27107	sp|Q05B89|GTPC1_BOVIN	Putative GTP cyclohydrolase 1 type 2 NIF3L1 OS=Bos taurus GN=NIF3L1 PE=2 SV=1
AIPGENE27108	sp|Q09274|UN105_CAEEL	Degenerin-like protein unc-105 OS=Caenorhabditis elegans GN=unc-105 PE=1 SV=3
AIPGENE27109	sp|Q8WV93|LACE1_HUMAN	Lactation elevated protein 1 OS=Homo sapiens GN=LACE1 PE=2 SV=2
AIPGENE27110	sp|Q9CXS4|CENPV_MOUSE	Centromere protein V OS=Mus musculus GN=Cenpv PE=2 SV=2
AIPGENE27111	sp|Q9P215|POGK_HUMAN	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2
AIPGENE27112	sp|Q9W2D6|TIM10_DROME	Mitochondrial import inner membrane translocase subunit Tim10 OS=Drosophila melanogaster GN=Tim10 PE=3 SV=1
AIPGENE27113	sp|Q9UGM1|ACHA9_HUMAN	Neuronal acetylcholine receptor subunit alpha-9 OS=Homo sapiens GN=CHRNA9 PE=1 SV=2
AIPGENE27114	sp|Q8K3M5|CABL2_MOUSE	CDK5 and ABL1 enzyme substrate 2 OS=Mus musculus GN=Cables2 PE=1 SV=2
AIPGENE27115		
AIPGENE27116	sp|Q8AYN0|OPSR2_DANRE	Red-sensitive opsin-2 OS=Danio rerio GN=opn1lw2 PE=1 SV=1
AIPGENE27117	sp|Q9NP71|MLXPL_HUMAN	Carbohydrate-responsive element-binding protein OS=Homo sapiens GN=MLXIPL PE=1 SV=1
AIPGENE27118	sp|P51523|ZNF84_HUMAN	Zinc finger protein 84 OS=Homo sapiens GN=ZNF84 PE=1 SV=2
AIPGENE27119	tr|W4YU11|W4YU11_STRPU	Uncharacterized protein OS=Strongylocentrotus purpuratus GN=Sp-PppL_122 PE=4 SV=1
AIPGENE27120	sp|Q9CWQ2|ZSWM7_MOUSE	Zinc finger SWIM domain-containing protein 7 OS=Mus musculus GN=Zswim7 PE=2 SV=1
AIPGENE27121	sp|Q80Y55|BSDC1_MOUSE	BSD domain-containing protein 1 OS=Mus musculus GN=Bsdc1 PE=2 SV=1
AIPGENE27122	sp|Q99447|PCY2_HUMAN	Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens GN=PCYT2 PE=1 SV=1
AIPGENE27123	sp|Q61097|KSR1_MOUSE	Kinase suppressor of Ras 1 OS=Mus musculus GN=Ksr1 PE=1 SV=1
AIPGENE27124	sp|Q3UVC0|KSR2_MOUSE	Kinase suppressor of Ras 2 OS=Mus musculus GN=Ksr2 PE=2 SV=2
AIPGENE27125	sp|Q6VAB6|KSR2_HUMAN	Kinase suppressor of Ras 2 OS=Homo sapiens GN=KSR2 PE=1 SV=2
AIPGENE27126	sp|Q3UVC0|KSR2_MOUSE	Kinase suppressor of Ras 2 OS=Mus musculus GN=Ksr2 PE=2 SV=2
AIPGENE27127	sp|Q61097|KSR1_MOUSE	Kinase suppressor of Ras 1 OS=Mus musculus GN=Ksr1 PE=1 SV=1
AIPGENE27128	sp|Q6VAB6|KSR2_HUMAN	Kinase suppressor of Ras 2 OS=Homo sapiens GN=KSR2 PE=1 SV=2
AIPGENE27129	sp|Q92616|GCN1L_HUMAN	Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6
AIPGENE27130	sp|Q8IZJ3|CPMD8_HUMAN	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8 OS=Homo sapiens GN=CPAMD8 PE=1 SV=2
AIPGENE27131	gi|156378459|ref|XP_001631160.1|	predicted protein [Nematostella vectensis] >gi|156218195|gb|EDO39097.1| predicted protein [Nematostella vectensis]
AIPGENE27132	gi|156398514|ref|XP_001638233.1|	predicted protein [Nematostella vectensis] >gi|156225352|gb|EDO46170.1| predicted protein [Nematostella vectensis]
AIPGENE27133	sp|Q9UNX4|WDR3_HUMAN	WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1
AIPGENE27134		
AIPGENE27135	sp|Q0MQG6|NDUS3_PONPY	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Pongo pygmaeus GN=NDUFS3 PE=2 SV=1
AIPGENE27136	tr|C3ZUM2|C3ZUM2_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_127392 PE=4 SV=1
AIPGENE27137	tr|C3ZD57|C3ZD57_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_88508 PE=4 SV=1
AIPGENE27138	sp|Q6P6Z0|DDB1_XENLA	DNA damage-binding protein 1 OS=Xenopus laevis GN=ddb1 PE=2 SV=1
AIPGENE27139	sp|P50429|ARSB_MOUSE	Arylsulfatase B OS=Mus musculus GN=Arsb PE=2 SV=3
AIPGENE27140	sp|B5X4H8|RFT2_SALSA	Riboflavin transporter 2 OS=Salmo salar GN=rft2 PE=2 SV=1
AIPGENE27141	tr|A7S7F4|A7S7F4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g243369 PE=4 SV=1
AIPGENE27142	tr|C3YF03|C3YF03_BRAFL	Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_92290 PE=4 SV=1
AIPGENE27143	sp|Q8VCK5|KLH20_MOUSE	Kelch-like protein 20 OS=Mus musculus GN=Klhl20 PE=2 SV=2
AIPGENE27144	sp|Q6PF45|VIAAT_XENLA	Vesicular inhibitory amino acid transporter OS=Xenopus laevis GN=slc32a1 PE=2 SV=1
AIPGENE27145	sp|P25931|NPYR_DROME	Neuropeptide Y receptor OS=Drosophila melanogaster GN=RYa-R PE=2 SV=2
AIPGENE27146	sp|Q8I7P9|POL5_DROME	Retrovirus-related Pol polyprotein from transposon opus OS=Drosophila melanogaster GN=pol PE=4 SV=1
AIPGENE27147	sp|O02751|CFDP2_BOVIN	Craniofacial development protein 2 OS=Bos taurus GN=CFDP2 PE=1 SV=2
AIPGENE27148	sp|Q497B8|KDM8_RAT	Lysine-specific demethylase 8 OS=Rattus norvegicus GN=Kdm8 PE=2 SV=1
AIPGENE27149	sp|Q497B8|KDM8_RAT	Lysine-specific demethylase 8 OS=Rattus norvegicus GN=Kdm8 PE=2 SV=1
AIPGENE27150	sp|Q8ISP0|RS18_BRABE	40S ribosomal protein S18 OS=Branchiostoma belcheri GN=RPS18 PE=2 SV=1
AIPGENE27151		
AIPGENE27152	gi|307187216|gb|EFN72433.1|	hypothetical protein EAG_09283 [Camponotus floridanus]
AIPGENE27153	sp|P21329|RTJK_DROFU	RNA-directed DNA polymerase from mobile element jockey OS=Drosophila funebris GN=jockey\pol PE=1 SV=1
AIPGENE27154		
AIPGENE27155	sp|Q9P4X3|UTP7_SCHPO	Probable U3 small nucleolar RNA-associated protein 7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=utp7 PE=3 SV=1
AIPGENE27156	sp|Q810N6|ANR45_MOUSE	Ankyrin repeat domain-containing protein 45 OS=Mus musculus GN=Ankrd45 PE=2 SV=1
AIPGENE27157	sp|O75445|USH2A_HUMAN	Usherin OS=Homo sapiens GN=USH2A PE=1 SV=3
AIPGENE27158	sp|O75445|USH2A_HUMAN	Usherin OS=Homo sapiens GN=USH2A PE=1 SV=3
AIPGENE27159		
AIPGENE27160	gi|260815955|ref|XP_002602738.1|	hypothetical protein BRAFLDRAFT_128373 [Branchiostoma floridae] >gi|229288049|gb|EEN58750.1| hypothetical protein BRAFLDRAFT_128373 [Branchiostoma floridae]
AIPGENE27161		
AIPGENE27162	sp|Q6P2D0|ZFP1_HUMAN	Zinc finger protein 1 homolog OS=Homo sapiens GN=ZFP1 PE=2 SV=2
AIPGENE27163	tr|A7T0X4|A7T0X4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g220646 PE=4 SV=1
AIPGENE27164	sp|Q8N9R8|SCAI_HUMAN	Protein SCAI OS=Homo sapiens GN=SCAI PE=1 SV=2
AIPGENE27165	sp|Q8N9R8|SCAI_HUMAN	Protein SCAI OS=Homo sapiens GN=SCAI PE=1 SV=2
AIPGENE27166	sp|Q4KL13|CN028_MOUSE	Uncharacterized protein C14orf28 homolog OS=Mus musculus GN=Gm527 PE=2 SV=1
AIPGENE27167	sp|Q8IYT2|CMTR2_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 OS=Homo sapiens GN=CMTR2 PE=1 SV=2
AIPGENE27168	sp|Q5VU43|MYOME_HUMAN	Myomegalin OS=Homo sapiens GN=PDE4DIP PE=1 SV=1
AIPGENE27169	gi|585674220|ref|XP_006818565.1|	PREDICTED: uncharacterized protein LOC102805935 [Saccoglossus kowalevskii]
AIPGENE27170		
AIPGENE27171	sp|D8VNS7|FCNV1_CERRY	Ryncolin-1 OS=Cerberus rynchops PE=1 SV=1
AIPGENE27172		
AIPGENE27173	sp|O35179|SH3G2_RAT	Endophilin-A1 OS=Rattus norvegicus GN=Sh3gl2 PE=1 SV=2
AIPGENE27174		
AIPGENE27175	tr|E0VA19|E0VA19_PEDHC	Reverse transcriptase, putative OS=Pediculus humanus subsp. corporis GN=Phum_PHUM025600 PE=4 SV=1
AIPGENE27176	sp|Q9ULT8|HECD1_HUMAN	E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens GN=HECTD1 PE=1 SV=3
AIPGENE27177	sp|Q8IXH7|NELFD_HUMAN	Negative elongation factor C/D OS=Homo sapiens GN=NELFCD PE=1 SV=2
AIPGENE27178	sp|Q8BGQ2|CSRN2_MOUSE	Cysteine/serine-rich nuclear protein 2 OS=Mus musculus GN=Csrnp2 PE=2 SV=1
AIPGENE27179	sp|Q9LY82|GLAK2_ARATH	Probable glucuronokinase 2 OS=Arabidopsis thaliana GN=GLCAK2 PE=2 SV=1
AIPGENE27180	tr|T1J6H9|T1J6H9_STRMM	Uncharacterized protein OS=Strigamia maritima PE=3 SV=1
AIPGENE27181		
AIPGENE27182	sp|Q64487|PTPRD_MOUSE	Receptor-type tyrosine-protein phosphatase delta OS=Mus musculus GN=Ptprd PE=1 SV=3
AIPGENE27183	sp|O15439|MRP4_HUMAN	Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3
AIPGENE27184	sp|P84082|ARF2_RAT	ADP-ribosylation factor 2 OS=Rattus norvegicus GN=Arf2 PE=2 SV=1
AIPGENE27185	tr|A7RWZ4|A7RWZ4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g241253 PE=4 SV=1
AIPGENE27186	tr|A7RWZ4|A7RWZ4_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g241253 PE=4 SV=1
AIPGENE27187	sp|Q8C0J2|A16L1_MOUSE	Autophagy-related protein 16-1 OS=Mus musculus GN=Atg16l1 PE=1 SV=1
AIPGENE27188	sp|Q503Y7|PIN4_DANRE	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Danio rerio GN=pin4 PE=2 SV=1
AIPGENE27189	sp|Q503Y7|PIN4_DANRE	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Danio rerio GN=pin4 PE=2 SV=1
AIPGENE27190	sp|Q8IZU8|DSEL_HUMAN	Dermatan-sulfate epimerase-like protein OS=Homo sapiens GN=DSEL PE=2 SV=2
AIPGENE27191	sp|P21802|FGFR2_HUMAN	Fibroblast growth factor receptor 2 OS=Homo sapiens GN=FGFR2 PE=1 SV=1
AIPGENE27192	sp|P05300|LAMP1_CHICK	Lysosome-associated membrane glycoprotein 1 OS=Gallus gallus GN=LAMP1 PE=2 SV=1
AIPGENE27193	sp|B2ZGJ1|CLAT_DANRE	Choline O-acetyltransferase OS=Danio rerio GN=chat PE=2 SV=1
AIPGENE27194	sp|Q9IB89|ZIC5_XENLA	Zinc finger protein ZIC 5 OS=Xenopus laevis GN=zic5 PE=2 SV=1
AIPGENE27195	sp|Q8CS61|Y1385_STAES	Putative universal stress protein SE_1385 OS=Staphylococcus epidermidis (strain ATCC 12228) GN=SE_1385 PE=3 SV=1
AIPGENE27196	sp|Q9EPR4|S23A2_MOUSE	Solute carrier family 23 member 2 OS=Mus musculus GN=Slc23a2 PE=1 SV=2
AIPGENE27197	sp|Q9UI40|NCKX2_HUMAN	Sodium/potassium/calcium exchanger 2 OS=Homo sapiens GN=SLC24A2 PE=1 SV=1
AIPGENE27198	sp|Q9UI40|NCKX2_HUMAN	Sodium/potassium/calcium exchanger 2 OS=Homo sapiens GN=SLC24A2 PE=1 SV=1
AIPGENE27199	sp|Q69ZC8|GPAM1_MOUSE	GPALPP motifs-containing protein 1 OS=Mus musculus GN=Gpalpp1 PE=1 SV=2
AIPGENE27200	sp|P23919|KTHY_HUMAN	Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4
AIPGENE27201	sp|O75746|CMC1_HUMAN	Calcium-binding mitochondrial carrier protein Aralar1 OS=Homo sapiens GN=SLC25A12 PE=1 SV=2
AIPGENE27202	sp|Q1W1Y5|PELP1_MACMU	Proline-, glutamic acid- and leucine-rich protein 1 OS=Macaca mulatta GN=PELP1 PE=2 SV=1
AIPGENE27203	sp|Q9CZR2|NALD2_MOUSE	N-acetylated-alpha-linked acidic dipeptidase 2 OS=Mus musculus GN=Naalad2 PE=1 SV=2
AIPGENE27204	gi|156392580|ref|XP_001636126.1|	predicted protein [Nematostella vectensis] >gi|156223226|gb|EDO44063.1| predicted protein [Nematostella vectensis]
AIPGENE27205	tr|K1PME8|K1PME8_CRAGI	Zinc-binding alcohol dehydrogenase domain-containing protein 2 OS=Crassostrea gigas GN=CGI_10001322 PE=4 SV=1
AIPGENE27206	sp|Q8CI04|COG3_MOUSE	Conserved oligomeric Golgi complex subunit 3 OS=Mus musculus GN=Cog3 PE=2 SV=3
AIPGENE27207	sp|Q9R062|GLYG_MOUSE	Glycogenin-1 OS=Mus musculus GN=Gyg1 PE=2 SV=3
AIPGENE27208	sp|B0JZG0|S23A2_XENTR	Solute carrier family 23 member 2 OS=Xenopus tropicalis GN=slc23a2 PE=2 SV=1
AIPGENE27209	sp|Q6GL69|MK67I_XENTR	MKI67 FHA domain-interacting nucleolar phosphoprotein-like OS=Xenopus tropicalis GN=nifk PE=2 SV=1
AIPGENE27210	sp|P55786|PSA_HUMAN	Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2
AIPGENE27211	sp|Q1L8I0|PUS7L_DANRE	Pseudouridylate synthase 7 homolog-like protein OS=Danio rerio GN=pus7l PE=2 SV=1
AIPGENE27212	sp|P55786|PSA_HUMAN	Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2
AIPGENE27213	sp|O15439|MRP4_HUMAN	Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3
AIPGENE27214	sp|O14929|HAT1_HUMAN	Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1
AIPGENE27215	sp|Q08CH3|MPND_DANRE	MPN domain-containing protein OS=Danio rerio GN=mpnd PE=2 SV=1
AIPGENE27216	sp|Q9Z2J0|S23A1_MOUSE	Solute carrier family 23 member 1 OS=Mus musculus GN=Slc23a1 PE=1 SV=2
AIPGENE27217	tr|A7SY99|A7SY99_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g248060 PE=4 SV=1
AIPGENE27218	tr|A7SY99|A7SY99_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g248060 PE=4 SV=1
AIPGENE27219	tr|A7SY99|A7SY99_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g248060 PE=4 SV=1
AIPGENE27220	tr|A7SY99|A7SY99_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g248060 PE=4 SV=1
AIPGENE27221	sp|O17185|SUP9_CAEEL	Two pore potassium channel protein sup-9 OS=Caenorhabditis elegans GN=sup-9 PE=1 SV=2
AIPGENE27222		
AIPGENE27223		
AIPGENE27224	sp|Q9TVP3|JDP_DROME	J domain-containing protein OS=Drosophila melanogaster GN=jdp PE=2 SV=2
AIPGENE27225	sp|Q8BTK5|SMYD4_MOUSE	SET and MYND domain-containing protein 4 OS=Mus musculus GN=Smyd4 PE=2 SV=2
AIPGENE27226	sp|Q00472|PNPP_SCHPO	4-nitrophenylphosphatase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=pho2 PE=4 SV=2
AIPGENE27227	gi|156367239|ref|XP_001627326.1|	predicted protein [Nematostella vectensis] >gi|156214232|gb|EDO35226.1| predicted protein [Nematostella vectensis]
AIPGENE27228	gi|156367239|ref|XP_001627326.1|	predicted protein [Nematostella vectensis] >gi|156214232|gb|EDO35226.1| predicted protein [Nematostella vectensis]
AIPGENE27229	sp|Q2TBP2|HINFP_BOVIN	Histone H4 transcription factor OS=Bos taurus GN=HINFP PE=2 SV=1
AIPGENE27230	sp|Q9Y4P1|ATG4B_HUMAN	Cysteine protease ATG4B OS=Homo sapiens GN=ATG4B PE=1 SV=2
AIPGENE27231	tr|A7RRP8|A7RRP8_NEMVE	Predicted protein OS=Nematostella vectensis GN=v1g201119 PE=4 SV=1
AIPGENE27232	sp|Q9MYM7|B3GT1_PONPY	Beta-1,3-galactosyltransferase 1 OS=Pongo pygmaeus GN=B3GALT1 PE=3 SV=1
AIPGENE27233	sp|Q04589|FGFR1_RAT	Fibroblast growth factor receptor 1 OS=Rattus norvegicus GN=Fgfr1 PE=1 SV=1
AIPGENE27234	sp|Q5E953|UFC1_BOVIN	Ubiquitin-fold modifier-conjugating enzyme 1 OS=Bos taurus GN=UFC1 PE=2 SV=1
AIPGENE27235	sp|Q6WZ17|NGB_PIG	Neuroglobin OS=Sus scrofa GN=NGB PE=2 SV=2
AIPGENE27236	sp|Q5U3N0|PKHA8_DANRE	Pleckstrin homology domain-containing family A member 8 OS=Danio rerio GN=plekha8 PE=2 SV=1
AIPGENE27237	sp|Q5R941|FKB14_PONAB	Peptidyl-prolyl cis-trans isomerase FKBP14 OS=Pongo abelii GN=FKBP14 PE=2 SV=1
AIPGENE27238	gi|156362141|ref|XP_001625639.1|	predicted protein [Nematostella vectensis] >gi|156212482|gb|EDO33539.1| predicted protein [Nematostella vectensis]
AIPGENE27239	sp|O15439|MRP4_HUMAN	Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3
AIPGENE27240		
AIPGENE27241	sp|Q96EZ8|MCRS1_HUMAN	Microspherule protein 1 OS=Homo sapiens GN=MCRS1 PE=1 SV=1
AIPGENE27242	sp|Q05204|LAMP1_BOVIN	Lysosome-associated membrane glycoprotein 1 OS=Bos taurus GN=LAMP1 PE=1 SV=2
AIPGENE27243	sp|Q9EPR4|S23A2_MOUSE	Solute carrier family 23 member 2 OS=Mus musculus GN=Slc23a2 PE=1 SV=2
AIPGENE27244	sp|Q8K4Q6|NEIL1_MOUSE	Endonuclease 8-like 1 OS=Mus musculus GN=Neil1 PE=2 SV=3
AIPGENE27245	sp|Q8K4Q6|NEIL1_MOUSE	Endonuclease 8-like 1 OS=Mus musculus GN=Neil1 PE=2 SV=3
AIPGENE27246	sp|Q8K4Q6|NEIL1_MOUSE	Endonuclease 8-like 1 OS=Mus musculus GN=Neil1 PE=2 SV=3
AIPGENE27247	sp|Q9Y6A2|CP46A_HUMAN	Cholesterol 24-hydroxylase OS=Homo sapiens GN=CYP46A1 PE=1 SV=1
AIPGENE27248	sp|O15439|MRP4_HUMAN	Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3
AIPGENE27249	sp|P74148|Y1388_SYNY3	Universal stress protein Sll1388 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=sll1388 PE=3 SV=1
AIPGENE27250	sp|Q27518|C13A2_CAEEL	Putative cytochrome P450 CYP13A2 OS=Caenorhabditis elegans GN=cyp-13A2 PE=3 SV=1
AIPGENE27251	sp|Q568K2|PP1RB_DANRE	Protein phosphatase 1 regulatory subunit 11 OS=Danio rerio GN=ppp1r11 PE=1 SV=1
AIPGENE27252	sp|Q838I4|SODM_ENTFA	Superoxide dismutase [Fe] OS=Enterococcus faecalis (strain ATCC 700802 / V583) GN=sodA PE=3 SV=1
AIPGENE27253	sp|O15439|MRP4_HUMAN	Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3
AIPGENE27254	sp|Q5M6W3|CLHC1_MOUSE	Clathrin heavy chain linker domain-containing protein 1 OS=Mus musculus GN=Clhc1 PE=2 SV=1
AIPGENE27255	sp|Q7T0Q5|NOL10_XENLA	Nucleolar protein 10 OS=Xenopus laevis GN=nol10 PE=2 SV=1
AIPGENE27256	gi|556095930|gb|ESO84582.1|	hypothetical protein LOTGIDRAFT_236232 [Lottia gigantea]
AIPGENE27257		
AIPGENE27258	sp|P06760|BGLR_RAT	Beta-glucuronidase OS=Rattus norvegicus GN=Gusb PE=2 SV=1
AIPGENE27259	sp|Q1MSJ5|CSPP1_HUMAN	Centrosome and spindle pole-associated protein 1 OS=Homo sapiens GN=CSPP1 PE=1 SV=4
